,Date_Time,Temperature,Action1,Humidity,Ammonia_Gas_Level,Action2,Light,Action3,Water_Level,Action4,Cleaning
226,02/04/2019 09:47 AM,33,FanOff,51,56,ExhFanOFF,134,LightOFF,60,PumpOff,ProcessOFF
227,02/04/2019 09:47 AM,33,FanOff,51,56,ExhFanOFF,49,LightOFF,60,PumpOff,ProcessOFF
228,02/04/2019 09:46 AM,33,FanOff,51,55,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
229,02/04/2019 09:45 AM,33,FanOff,51,56,ExhFanOFF,230,LightOFF,60,PumpOff,ProcessOFF
230,02/04/2019 09:45 AM,33,FanOff,51,56,ExhFanOFF,213,LightOFF,60,PumpOff,ProcessOFF
231,02/04/2019 09:44 AM,33,FanOff,51,55,ExhFanOFF,40,LightOFF,60,PumpOff,ProcessOFF
232,02/04/2019 09:44 AM,33,FanOff,51,56,ExhFanOFF,102,LightOFF,60,PumpOff,ProcessOFF
233,02/04/2019 09:43 AM,33,FanOff,51,56,ExhFanOFF,52,LightOFF,60,PumpOff,ProcessOFF
234,02/04/2019 09:42 AM,33,FanOff,51,56,ExhFanOFF,48,LightOFF,60,PumpOff,ProcessOFF
235,02/04/2019 09:42 AM,33,FanOff,51,56,ExhFanOFF,233,LightOFF,60,PumpOff,ProcessOFF
236,02/04/2019 09:41 AM,33,FanOff,51,56,ExhFanOFF,75,LightOFF,60,PumpOff,ProcessOFF
237,02/04/2019 09:41 AM,33,FanOff,51,56,ExhFanOFF,125,LightOFF,60,PumpOff,ProcessOFF
238,02/04/2019 09:40 AM,33,FanOff,51,56,ExhFanOFF,38,LightOFF,60,PumpOff,ProcessOFF
239,02/04/2019 09:39 AM,33,FanOff,51,56,ExhFanOFF,51,LightOFF,60,PumpOff,ProcessOFF
240,02/04/2019 09:39 AM,33,FanOff,51,57,ExhFanOFF,173,LightOFF,60,PumpOff,ProcessOFF
241,02/04/2019 09:38 AM,33,FanOff,51,57,ExhFanOFF,205,LightOFF,60,PumpOff,ProcessOFF
242,02/04/2019 09:38 AM,33,FanOff,51,56,ExhFanOFF,49,LightOFF,60,PumpOff,ProcessOFF
243,02/04/2019 09:37 AM,33,FanOff,51,57,ExhFanOFF,166,LightOFF,60,PumpOff,ProcessOFF
244,02/04/2019 09:36 AM,33,FanOff,51,56,ExhFanOFF,51,LightOFF,60,PumpOff,ProcessOFF
245,02/04/2019 09:36 AM,33,FanOff,51,56,ExhFanOFF,66,LightOFF,60,PumpOff,ProcessOFF
246,02/04/2019 09:35 AM,33,FanOff,51,57,ExhFanOFF,62,LightOFF,60,PumpOff,ProcessOFF
247,02/04/2019 09:35 AM,33,FanOff,51,56,ExhFanOFF,43,LightOFF,60,PumpOff,ProcessOFF
248,02/04/2019 09:34 AM,33,FanOff,51,57,ExhFanOFF,202,LightOFF,60,PumpOff,ProcessOFF
249,02/04/2019 09:33 AM,33,FanOff,51,57,ExhFanOFF,231,LightOFF,60,PumpOff,ProcessOFF
250,02/04/2019 09:33 AM,33,FanOff,51,57,ExhFanOFF,39,LightOFF,60,PumpOff,ProcessOFF
251,02/04/2019 09:32 AM,33,FanOff,52,57,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
252,02/04/2019 09:32 AM,33,FanOff,51,57,ExhFanOFF,230,LightOFF,60,PumpOff,ProcessOFF
